Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
MANCHESTER ROAD,0.071,0.09,0.112,0.136,0.16,0.185,0.211,0.243,0.279,0.31,0.346,0.385,0.417,0.458,0.499,0.543,0.587,0.635,0.682,0.731,0.778,0.828,0.878,0.923,0.974,1.024,1.024,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MANSFIELD ROAD 1,1.231,1.368,1.527,1.7,1.881,2.064,2.252,2.491,2.749,2.982,3.243,3.526,3.764,4.065,4.36,4.682,5.01,5.356,5.702,6.063,6.407,6.771,7.137,7.466,7.842,8.205,8.205,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MANSFIELD ROAD 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MARKHAM GATES,3.088,3.273,3.485,3.718,3.961,4.208,4.46,4.781,5.128,5.441,5.792,6.172,6.492,6.897,7.293,7.726,8.166,8.632,9.096,9.581,10.044,10.533,11.024,11.468,11.972,12.461,12.461,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MARMION ROAD,1.677,1.844,2.037,2.247,2.467,2.69,2.918,3.208,3.521,3.804,4.121,4.465,4.754,5.12,5.477,5.869,6.267,6.688,7.107,7.546,7.964,8.406,8.85,9.251,9.707,10.148,10.148,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MARSDEN ROAD,0.402,0.474,0.557,0.648,0.743,0.839,0.937,1.063,1.198,1.32,1.457,1.605,1.73,1.888,2.043,2.212,2.383,2.565,2.746,2.936,3.116,3.307,3.499,3.672,3.869,4.059,4.059,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MARTONGATE,2.179,2.413,2.683,2.977,3.284,3.597,3.916,4.323,4.762,5.157,5.601,6.083,6.488,7,7.501,8.049,8.607,9.196,9.783,10.397,10.983,11.602,12.224,12.785,13.424,14.042,14.042,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MELTHAM,1.267,1.35,1.447,1.553,1.663,1.775,1.89,2.035,2.193,2.335,2.494,2.667,2.812,2.996,3.176,3.372,3.572,3.784,3.994,4.215,4.425,4.647,4.87,5.071,5.3,5.522,5.522,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MEXBOROUGH 1_2,3.129,3.336,3.575,3.836,4.109,4.385,4.669,5.028,5.417,5.768,6.161,6.588,6.947,7.401,7.845,8.33,8.825,9.347,9.867,10.411,10.93,11.479,12.03,12.527,13.093,13.641,13.641,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MIDDLETON TOWN STREET,1.537,1.665,1.812,1.973,2.141,2.312,2.487,2.709,2.949,3.165,3.408,3.671,3.893,4.173,4.447,4.746,5.051,5.373,5.695,6.03,6.35,6.689,7.029,7.336,7.685,8.023,8.023,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MILLHOUSES,0.627,0.689,0.76,0.838,0.919,1.002,1.087,1.194,1.311,1.416,1.533,1.661,1.768,1.904,2.037,2.182,2.329,2.486,2.641,2.804,2.959,3.123,3.288,3.437,3.606,3.77,3.77,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MILLROYD STREET,1.238,1.361,1.502,1.657,1.818,1.981,2.149,2.362,2.592,2.799,3.032,3.284,3.497,3.765,4.027,4.315,4.607,4.916,5.224,5.545,5.852,6.177,6.502,6.797,7.131,7.455,7.455,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MILTON PLACE,1.706,1.857,2.031,2.221,2.419,2.62,2.827,3.089,3.372,3.627,3.914,4.224,4.486,4.817,5.139,5.493,5.853,6.233,6.612,7.008,7.386,7.786,8.187,8.549,8.961,9.36,9.36,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MIRFIELD,2.055,2.207,2.382,2.574,2.773,2.976,3.183,3.447,3.732,3.989,4.277,4.59,4.853,5.186,5.511,5.867,6.229,6.612,6.993,7.392,7.772,8.175,8.578,8.943,9.357,9.759,9.759,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MONCKTON,1.875,1.995,2.132,2.283,2.44,2.6,2.763,2.971,3.195,3.397,3.624,3.87,4.077,4.339,4.595,4.875,5.16,5.461,5.761,6.075,6.374,6.691,7.009,7.295,7.622,7.938,7.938,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MOOR ROAD,1.023,1.182,1.366,1.567,1.777,1.989,2.207,2.484,2.784,3.053,3.356,3.684,3.961,4.31,4.651,5.025,5.405,5.807,6.207,6.626,7.025,7.448,7.871,8.254,8.689,9.111,9.111,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MOORSIDE ROAD,1.046,1.198,1.374,1.565,1.765,1.968,2.176,2.44,2.726,2.983,3.272,3.585,3.848,4.182,4.507,4.863,5.226,5.609,5.991,6.391,6.771,7.174,7.578,7.943,8.359,8.761,8.761,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MORLEY,1.307,1.413,1.536,1.67,1.809,1.951,2.097,2.281,2.481,2.661,2.863,3.082,3.266,3.499,3.727,3.976,4.229,4.497,4.765,5.044,5.31,5.592,5.874,6.129,6.42,6.701,6.701,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
