Primary,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
DARLINGTON CENTRAL 33/11KV	9.665	10.818	10.818	10.809	10.818	10.848	10.912	10.989	11.068	11.157	11.253	11.368	11.48	11.603	11.723	11.839	11.961	12.024	12.082	12.127	12.166	12.192	12.206	12.201	12.218	12.23	12.208	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DARLINGTON EAST	18.004	18.994	18.994	19.272	19.597	19.971	20.431	21.144	21.729	22.378	23.076	23.805	24.512	25.351	26.194	27.007	27.843	28.35	28.691	28.966	29.173	29.337	29.468	29.558	29.784	30.026	30.01	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DARLINGTON WEST	19.371	20.491	20.491	20.87	21.299	21.823	22.5	23.369	24.564	25.813	27.037	28.16	29.308	30.588	31.865	33.111	34.398	35.217	36.107	36.926	37.674	38.318	38.864	39.293	39.923	40.527	40.486	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DENWICK	20.025	20.025	20.025	20.669	21.277	21.845	22.494	23.549	24.778	26.031	27.516	29.379	31.052	32.957	34.931	36.946	39.038	40.201	40.666	41.039	41.264	41.421	41.524	41.547	41.814	42.114	42.168	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DUNSTON 66/11KV	14.45	17.63	17.63	17.691	17.738	17.83	18.002	18.239	18.587	18.919	19.249	19.6	19.927	20.257	20.573	20.874	21.177	21.341	21.503	21.65	21.774	21.871	21.939	21.962	22.03	22.086	22.05	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DUNSTON 66/20KV	16.607	17.357	17.357	17.622	17.819	18.053	18.388	18.888	19.539	20.137	20.748	21.431	22.054	22.704	23.339	23.961	24.601	24.947	25.211	25.476	25.696	25.871	26.001	26.063	26.214	26.349	26.356	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DURHAM EAST	14.078	14.778	14.778	14.789	14.826	14.88	14.966	15.115	15.248	15.413	15.573	15.706	15.866	16.076	16.294	16.51	16.744	16.898	17.067	17.237	17.4	17.547	17.68	17.794	17.952	18.11	18.126	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
EASTFIELD	21.775	21.775	21.775	22.2	22.646	23.119	23.689	24.606	25.517	26.455	27.481	28.602	29.677	30.951	32.237	33.518	34.862	35.627	36.12	36.713	37.214	37.646	38.018	38.321	38.837	39.364	39.481	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
EASTGATE CEMENT	9.792	9.792	9.792	9.89	9.994	10.101	10.268	10.5	10.829	11.178	11.559	12.027	12.456	12.896	13.324	13.752	14.18	14.496	14.757	14.976	15.183	15.381	15.582	15.742	15.902	16.058	16.186	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
EDUCATIONAL PRECINCT	17.517	17.517	17.517	17.418	17.382	17.375	17.413	17.435	17.564	17.743	17.906	18.018	18.191	18.422	18.679	18.944	19.239	19.42	19.648	19.859	20.06	20.237	20.394	20.519	20.696	20.868	20.836	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
ELVINGTON	11.39	11.95	11.95	12.023	12.111	12.212	12.365	12.585	12.902	13.237	13.632	14.125	14.566	15.032	15.511	15.991	16.473	16.797	17.023	17.198	17.328	17.445	17.557	17.643	17.753	17.865	17.943	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FARADAY STREET	19.989	21.849	21.849	22.023	22.255	22.562	22.973	23.485	24.1	24.841	25.58	26.225	26.972	27.905	28.861	29.817	30.854	31.521	32.266	32.947	33.585	34.141	34.621	35.012	35.588	36.153	36.113	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FAWDON T1 & SEATON BURN T1	20.66	20.66	20.66	21.295	21.944	22.63	23.437	24.671	25.9	27.188	28.599	30.138	31.616	33.36	35.196	37.024	38.941	40.088	40.805	41.466	42.035	42.517	42.924	43.249	43.862	44.5	44.581	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FISHBURN	21.729	22.149	22.149	23.055	23.903	24.669	25.512	26.949	28.568	30.205	32.126	34.505	36.651	39.118	41.667	44.266	46.961	48.349	48.797	49.165	49.332	49.419	49.446	49.417	49.739	50.111	50.148	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FLATWORTH CENTRAL	15.72	15.72	19.059	19.12	19.232	19.379	19.575	19.842	20.216	20.618	21.002	21.322	21.677	22.098	22.54	22.978	23.439	23.748	24.1	24.433	24.745	25.022	25.269	25.479	25.762	26.037	26.053	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FOSS ISLANDS	26.4	27.55	27.55	27.703	27.959	28.319	28.807	29.099	29.259	29.548	29.952	30.544	31.122	31.712	32.311	32.887	33.451	33.834	34.119	34.336	34.504	34.632	34.716	34.725	34.755	34.75	34.871	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FOSSWAY 33/11KV	16.758	17.758	17.758	17.908	18.133	18.429	18.83	19.225	19.921	20.698	21.451	22.122	22.87	23.728	24.616	25.505	26.452	27.056	27.757	28.409	29.017	29.548	30.005	30.37	30.887	31.377	31.359	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
FOURSTONES 20KV	19.467	19.467	19.467	19.671	19.841	20.04	20.335	20.814	21.636	22.44	23.422	24.692	25.79	26.984	28.209	29.463	30.773	31.57	31.93	32.217	32.432	32.591	32.704	32.738	32.928	33.123	33.091	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
