Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SLEDMERE GARTH,0.815,0.825,0.83,0.836,0.842,0.853,0.865,0.882,0.906,0.917,0.941,0.96,0.967,0.985,1,1.021,1.04,1.067,1.098,1.139,1.172,1.218,1.268,1.297,1.35,1.397,1.456,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SMITH STREET,0.79,0.803,0.81,0.818,0.828,0.843,0.859,0.883,0.915,0.931,0.963,0.99,0.999,1.024,1.046,1.074,1.101,1.138,1.181,1.237,1.284,1.347,1.416,1.456,1.53,1.595,1.677,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SMITHY GREEN,0.831,0.84,0.846,0.852,0.859,0.871,0.883,0.901,0.926,0.938,0.963,0.983,0.99,1.009,1.026,1.047,1.068,1.096,1.129,1.171,1.207,1.256,1.308,1.338,1.395,1.444,1.506,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SNAITHING PARK ROAD,1.15,1.168,1.179,1.19,1.204,1.226,1.25,1.284,1.331,1.354,1.401,1.44,1.453,1.489,1.52,1.561,1.601,1.654,1.716,1.797,1.865,1.957,2.057,2.114,2.222,2.315,2.434,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SNELSINS LANE,0.707,0.721,0.73,0.738,0.749,0.765,0.783,0.809,0.845,0.862,0.898,0.927,0.937,0.964,0.988,1.019,1.049,1.09,1.137,1.198,1.25,1.319,1.394,1.438,1.52,1.59,1.68,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH ELMSALL,1.316,1.332,1.341,1.351,1.363,1.382,1.402,1.432,1.473,1.493,1.533,1.567,1.578,1.61,1.637,1.673,1.707,1.753,1.807,1.878,1.937,2.016,2.103,2.153,2.246,2.327,2.43,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH FERRIBY,1.135,1.146,1.153,1.16,1.168,1.182,1.197,1.218,1.248,1.262,1.291,1.315,1.324,1.346,1.366,1.391,1.416,1.45,1.488,1.539,1.581,1.639,1.701,1.737,1.804,1.862,1.936,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH KIRKBY,1.846,1.868,1.881,1.894,1.911,1.937,1.965,2.005,2.061,2.088,2.144,2.19,2.206,2.249,2.286,2.334,2.381,2.445,2.518,2.614,2.695,2.804,2.922,2.99,3.118,3.229,3.369,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH RESTON,0.462,0.466,0.468,0.471,0.474,0.479,0.484,0.492,0.502,0.507,0.517,0.526,0.529,0.537,0.544,0.553,0.562,0.574,0.588,0.606,0.621,0.641,0.663,0.676,0.7,0.72,0.747,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH STREET,0.634,0.651,0.661,0.671,0.683,0.703,0.725,0.756,0.799,0.82,0.862,0.898,0.91,0.943,0.971,1.009,1.045,1.093,1.15,1.224,1.286,1.369,1.46,1.512,1.611,1.696,1.803,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
