Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SOUTH KIRKBY,2.386,2.517,2.669,2.835,3.008,3.184,3.364,3.593,3.84,4.063,4.313,4.584,4.812,5.1,5.382,5.691,6.005,6.337,6.668,7.013,7.343,7.692,8.042,8.358,8.717,9.065,9.065,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH RESTON,0.625,0.649,0.678,0.709,0.741,0.774,0.808,0.851,0.897,0.939,0.985,1.036,1.079,1.133,1.186,1.243,1.302,1.364,1.426,1.491,1.553,1.618,1.683,1.742,1.81,1.875,1.875,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH STREET,0.629,0.73,0.847,0.974,1.107,1.242,1.38,1.556,1.746,1.917,2.109,2.317,2.492,2.714,2.93,3.167,3.409,3.664,3.918,4.183,4.436,4.704,4.973,5.216,5.492,5.759,5.759,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTHGATE,1.128,1.211,1.306,1.41,1.519,1.63,1.743,1.886,2.042,2.182,2.339,2.509,2.653,2.834,3.011,3.205,3.403,3.611,3.819,4.037,4.244,4.463,4.683,4.882,5.108,5.326,5.326,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTHWOOD ROAD,1.547,1.73,1.942,2.172,2.413,2.658,2.908,3.226,3.57,3.88,4.228,4.605,4.923,5.324,5.717,6.146,6.583,7.045,7.505,7.986,8.445,8.93,9.417,9.856,10.357,10.841,10.841,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOWERBY BRIDGE 33/11KV,1.397,1.534,1.691,1.863,2.042,2.225,2.411,2.648,2.904,3.135,3.394,3.675,3.912,4.211,4.503,4.823,5.148,5.492,5.835,6.193,6.535,6.897,7.259,7.587,7.96,8.32,8.32,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SPARK MILL LANE,1.614,1.819,2.055,2.313,2.582,2.855,3.135,3.49,3.875,4.221,4.61,5.031,5.386,5.835,6.273,6.752,7.24,7.756,8.271,8.808,9.321,9.863,10.407,10.898,11.457,11.998,11.998,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SPENBOROUGH,1.377,1.501,1.644,1.8,1.962,2.128,2.297,2.512,2.744,2.954,3.189,3.444,3.658,3.93,4.195,4.485,4.78,5.092,5.403,5.728,6.038,6.366,6.695,6.992,7.33,7.658,7.658,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SPRING MILL STREET,0.214,0.264,0.322,0.385,0.45,0.517,0.585,0.672,0.766,0.851,0.946,1.048,1.135,1.245,1.352,1.469,1.588,1.714,1.84,1.971,2.096,2.228,2.361,2.481,2.618,2.75,2.75,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STAINFORTH,2.131,2.229,2.341,2.463,2.591,2.721,2.854,3.023,3.206,3.37,3.555,3.755,3.924,4.137,4.345,4.573,4.805,5.05,5.295,5.55,5.794,6.051,6.31,6.543,6.809,7.066,7.066,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
