Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SMITHY GREEN,295,504,768,1079,1419,1781,2212,2627,3030,3417,3784,4128,4456,4756,5030,5272,5488,5665,5813,5939,6045,6132,6195,6247,6291,6329,6329,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SNAITHING PARK ROAD,752,1200,1703,2240,2832,3464,4220,4945,5648,6323,6963,7560,8115,8638,9114,9536,9911,10227,10493,10712,10896,11048,11157,11250,11327,11393,11393,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SNELSINS LANE,457,766,1145,1583,2062,2572,3182,3767,4335,4881,5398,5883,6342,6766,7151,7493,7797,8047,8258,8436,8585,8708,8796,8870,8932,8985,8985,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH ELMSALL,368,652,1029,1489,1989,2521,3155,3766,4358,4927,5467,5975,6462,6905,7307,7664,7982,8240,8457,8643,8799,8927,9019,9096,9160,9215,9215,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH FERRIBY,214,375,585,839,1114,1408,1758,2095,2422,2736,3034,3314,3582,3826,4048,4245,4421,4563,4683,4786,4872,4942,4994,5036,5071,5102,5102,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH KIRKBY,502,890,1405,2034,2718,3445,4313,5148,5959,6737,7475,8169,8836,9442,9992,10481,10915,11268,11565,11819,12032,12207,12334,12438,12526,12602,12602,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH RESTON,136,234,359,508,669,842,1047,1245,1437,1621,1796,1960,2117,2260,2390,2506,2609,2693,2764,2824,2874,2916,2946,2970,2991,3009,3009,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH STREET,453,779,1194,1686,2222,2794,3476,4131,4768,5379,5959,6502,7022,7497,7929,8312,8653,8931,9166,9365,9532,9670,9769,9852,9921,9980,9980,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTHGATE,344,559,810,1088,1393,1718,2106,2479,2841,3189,3518,3826,4115,4384,4629,4847,5040,5201,5337,5450,5545,5623,5679,5727,5766,5800,5800,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTHWOOD ROAD,780,1263,1823,2436,3111,3831,4691,5516,6318,7086,7816,8496,9134,9730,10273,10754,11182,11539,11840,12090,12300,12473,12598,12703,12790,12865,12865,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
