Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SOUTHGATE,344,442,558,694,860,1063,1274,1512,1775,2060,2365,2693,3055,3434,3815,4193,4512,4815,5095,5348,5573,5770,5897,5942,5984,6024,6063,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTHWOOD ROAD,780,999,1256,1555,1920,2368,2836,3364,3946,4576,5252,5979,6782,7620,8465,9303,10010,10680,11300,11861,12359,12797,13076,13176,13269,13358,13444,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOWERBY BRIDGE 33/11KV,742,973,1253,1585,1988,2478,2987,3559,4189,4869,5600,6384,7250,8154,9065,9970,10733,11456,12126,12731,13269,13741,14043,14152,14254,14350,14443,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPARK MILL LANE,818,1060,1349,1689,2102,2607,3133,3725,4377,5082,5840,6652,7551,8488,9433,10371,11162,11912,12606,13234,13791,14281,14594,14706,14811,14911,15007,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPENBOROUGH,601,818,1092,1424,1826,2306,2803,3359,3970,4629,5336,6095,6932,7805,8685,9559,10297,10997,11645,12230,12750,13207,13500,13606,13706,13800,13890,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPRING MILL STREET,126,200,304,436,592,775,962,1169,1395,1639,1899,2179,2486,2807,3131,3452,3724,3982,4220,4436,4627,4796,4904,4944,4981,5017,5050,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STAINFORTH,571,719,886,1078,1313,1605,1910,2257,2640,3054,3500,3979,4508,5061,5618,6171,6637,7078,7487,7856,8185,8473,8657,8722,8783,8841,8897,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STAIRFOOT,633,872,1180,1555,2007,2546,3103,3725,4409,5145,5936,6783,7718,8693,9677,10653,11478,12260,12984,13638,14219,14730,15057,15176,15288,15393,15494,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STANLEY STREET,63,118,198,303,427,569,715,875,1050,1237,1438,1653,1890,2136,2385,2632,2841,3039,3223,3389,3536,3666,3749,3781,3810,3837,3863,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STANNINGTON ROAD,784,1077,1452,1910,2462,3120,3801,4561,5397,6297,7263,8299,9442,10635,11837,13031,14039,14995,15880,16680,17390,18015,18414,18560,18696,18825,18949,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
