Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
NEWBY,13.227,13.407,13.407,13.642,13.910,14.219,14.584,15.133,15.859,16.607,17.338,17.908,18.520,19.096,19.556,19.960,20.320,20.663,20.970,21.282,21.562,21.801,22.015,22.165,22.325,22.457,22.506,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NEWCASTLE AIRPORT,12.629,13.629,13.629,13.844,14.087,14.347,14.616,15.003,15.429,15.890,16.292,16.573,16.892,17.180,17.429,17.659,17.874,18.091,18.293,18.482,18.652,18.792,18.916,18.997,19.088,19.167,19.198,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NEWTON AYCLIFFE SOUTH,12.274,12.274,12.274,12.250,12.243,12.253,12.282,12.351,12.435,12.527,12.618,12.703,12.790,12.871,12.944,13.011,13.074,13.133,13.187,13.236,13.281,13.318,13.349,13.366,13.385,13.401,13.411,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NORTH STREET,9.840,9.840,9.840,9.934,10.061,10.239,10.425,10.619,10.969,11.371,11.748,11.987,12.324,12.663,12.940,13.187,13.412,13.624,13.811,13.983,14.135,14.263,14.382,14.464,14.548,14.613,14.628,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NORTH TEES T1 T2,20.839,22.526,22.526,22.706,22.970,23.322,23.739,24.199,24.707,25.244,25.799,26.346,26.855,27.345,27.806,28.220,28.587,28.914,29.204,29.457,29.676,29.876,30.057,30.216,30.368,30.510,30.653,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NORTH TEES T3 T4,16.568,18.023,18.023,18.156,18.316,18.504,18.708,19.019,19.460,19.932,20.384,20.694,21.081,21.473,21.816,22.140,22.447,22.753,23.047,23.325,23.589,23.837,24.087,24.319,24.548,24.761,24.929,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NORTHALLERTON,16.571,16.861,16.861,17.248,17.665,18.122,18.616,19.248,19.958,20.705,21.494,22.280,22.998,23.657,24.265,24.830,25.357,25.874,26.361,26.816,27.245,27.637,28.001,28.296,28.598,28.879,29.101,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NORTON 132/11KV,30.870,30.870,30.870,31.793,32.791,33.865,35.071,36.791,38.876,41.002,42.948,44.353,45.968,47.493,48.814,50.011,51.105,52.159,53.132,54.015,54.819,55.514,56.142,56.598,57.094,57.525,57.750,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
OATLANDS,9.643,10.393,10.393,10.596,10.821,11.072,11.362,11.753,12.240,12.741,13.225,13.623,14.047,14.446,14.775,15.071,15.339,15.597,15.830,16.034,16.219,16.376,16.509,16.589,16.692,16.779,16.817,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
OFFERTON 33/11KV,15.664,16.601,16.601,16.945,17.322,17.739,18.226,19.018,19.996,21.002,21.927,22.578,23.319,24.010,24.591,25.107,25.567,26.017,26.427,26.795,27.122,27.396,27.634,27.788,27.955,28.091,28.129,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
PALLION TRADING,14.113,15.113,15.113,15.356,15.624,15.923,16.259,16.817,17.506,18.225,18.861,19.263,19.753,20.210,20.608,20.963,21.287,21.602,21.891,22.151,22.384,22.576,22.752,22.875,23.006,23.115,23.147,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
PETERLEE INDUSTRIAL,9.246,9.246,9.246,9.225,9.211,9.205,9.206,9.213,9.225,9.243,9.267,9.295,9.329,9.364,9.405,9.450,9.495,9.541,9.588,9.633,9.679,9.725,9.770,9.816,9.862,9.907,9.953,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
PETERLEE WEST,9.975,10.705,10.705,10.859,11.037,11.243,11.482,11.860,12.340,12.838,13.300,13.643,14.047,14.437,14.763,15.057,15.323,15.589,15.838,16.064,16.271,16.455,16.609,16.705,16.806,16.895,16.946,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
PILGRIM,16.016,18.486,18.486,18.412,18.365,18.343,18.314,18.245,18.193,18.164,18.142,18.127,18.131,18.146,18.174,18.209,18.248,18.288,18.327,18.364,18.399,18.432,18.463,18.487,18.509,18.532,18.552,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
POTTER HOUSE T1 T3,16.733,18.933,18.933,19.362,19.824,20.364,21.062,22.042,23.065,24.026,25.040,26.129,27.014,27.785,28.443,29.026,29.560,30.040,30.460,30.855,31.207,31.505,31.759,31.914,32.100,32.249,32.324,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
